"Name","Location","Ads","Google Rating","Google Reviews","Facebook Rating","Facebook Likes","Index.cy Rating","Index.cy Reviews","Home.cy Rating","Home.cy Reviews","Total Reviews","Average Rating","Bazaraki URL","Facebook URL","Index.cy URL","Home.cy URL"
"4BUY&SELL","Limassol",348,5,64,"","","","","","",64,5,"https://www.bazaraki.com/c/4BUYANDSELL/","","",""
"Altia","Nicosia",462,"","","",6240,5,1,"","",1,5,"https://www.bazaraki.com/c/Altia/","https://www.facebook.com/altiaestates/","https://index.cy/company/altia/","https://home.cy/altia"
"Arto Estates","Limassol",144,4.6,15,"",1523,5,1,"","",16,4.6,"https://www.bazaraki.com/c/artoestates/","https://www.facebook.com/ArtoEstates/","https://index.cy/company/arto-estates/",""
"Blue Sky Houses","Paphos",9,4.9,59,"","","","","","",59,4.9,"https://www.bazaraki.com/c/BlueSkyHouses/","","",""
"CENTURY 21","Limassol",932,4.6,37,"","","","","","",61,4.6,"https://www.bazaraki.com/c/century21/","https://www.facebook.com/Century21CY/","",""
"CHRIS MICHAEL PROPERTY GROUP","Limassol",500,4.9,38,"","","","","","",38,4.9,"https://www.bazaraki.com/c/chrismichaelpropertygroup/","https://www.facebook.com/ChrisMichaelEstates/","",""
"Comark Estates","Limassol",62,4.8,21,"",1131,"","","","",21,4.8,"https://www.bazaraki.com/c/comarkestates/","https://www.facebook.com/ComarkEstates/","",""
"Cyprus Sothebys International Realty","Paphos",916,4.8,43,"",15063,"","","","",43,4.8,"https://www.bazaraki.com/c/sothebys/","https://www.facebook.com/CyprusSothebysRealty/","",""
"David Spyrou Estates LTD","Larnaca",85,4.2,36,"","","","","","",39,4.2,"https://www.bazaraki.com/c/davidestates/","https://www.facebook.com/davidspyrouestates/","https://index.cy/company/david-spyrou-estates/","https://home.cy/david-spyrou-estates"
"Delfi Properties","Nicosia",492,4.5,21,"",6130,"","","","",21,4.5,"https://www.bazaraki.com/c/delfiproperties/","https://www.facebook.com/DelfiPropertiesCyprus/","",""
"DOME REAL ESTATE","Paphos",26,4.7,29,"","","","","","",32,4.7,"https://www.bazaraki.com/c/dome/","https://www.facebook.com/p/DOME-Real-Estate-100063492493513/","",""
"DOM Real Estate","Limassol",2000,"","","",11768,"","","","",1,"","https://www.bazaraki.com/c/domrealestate/","https://www.facebook.com/DOMCyprus/","https://index.cy/company/dom-real-estate/",""
"Doorway Real Estate","Limassol",491,5,105,"","","","","","",105,5,"https://www.bazaraki.com/c/Doorway/","","",""
"Down Town Cyprus Sales and Rentals","Paphos",22,4.8,25,"","","","","","",25,4.8,"https://www.bazaraki.com/c/downtowncyprus/","","",""
"Fox Smart Estate Agency Network LTD","Nicosia",60,4.3,52,"",16481,"","","","",52,4.3,"https://www.bazaraki.com/c/foxrealty/","https://www.facebook.com/FoxRealEstateCyprus/","",""
"Galaxia Estates","Limassol",94,4.7,29,"","","","","","",29,4.7,"https://www.bazaraki.com/c/galaxiaestates/","https://www.facebook.com/galaxiaestate/","",""
"Kalogirou Real Estate","Larnaca",1491,4.8,389,"",3900,"","","","",389,4.8,"https://www.bazaraki.com/c/kalogirourealestate/","https://www.facebook.com/p/Kalogirou-Real-Estate-100063689655416/","",""
